gene_name,cn_type
AC004453.1,deletion
AC004453.2,deletion
AC004461.1,deletion
AC004461.2,deletion
AC004466.1,deletion
AC004466.2,deletion
AC004466.3,deletion
AC004467.1,deletion
AC004470.1,deletion
AC004471.1,deletion
AC004471.2,deletion
AC004477.1,deletion
AC004477.2,deletion
AC004477.3,deletion
AC004485.1,deletion
AC004486.1,deletion
AC004490.1,deletion
AC004491.1,deletion
AC004492.1,deletion
AC004494.1,deletion
AC004494.2,deletion
AC004520.1,deletion
AC004522.1,deletion
AC004522.2,deletion
AC004528.1,deletion
AC004528.2,deletion
AC004540.1,deletion
AC004540.2,deletion
AC004542.1,deletion
AC004542.2,deletion
AC004543.1,deletion
AC004551.1,deletion
AC004552.1,deletion
AC004554.1,deletion
AC004554.2,deletion
AC004556.1,deletion
AC004584.1,deletion
AC004584.2,deletion
AC004584.3,deletion
AC004585.1,deletion
AC004585.2,deletion
AC004590.1,deletion
AC004593.1,deletion
AC004593.2,deletion
AC004593.3,deletion
AC004594.1,deletion
AC004596.1,deletion
AC004597.1,deletion
AC004623.1,deletion
AC004637.1,deletion
AC004656.1,deletion
AC004672.1,deletion
AC004672.2,deletion
AC004674.1,deletion
AC004674.2,deletion
AC004678.1,deletion
AC004678.2,deletion
AC004687.1,deletion
AC004690.1,deletion
AC004690.2,deletion
AC004691.1,deletion
AC004691.2,deletion
AC004692.1,deletion
AC004692.2,deletion
AC004696.1,deletion
AC004696.2,deletion
AC004702.1,deletion
AC004704.1,deletion
AC004706.1,deletion
AC004706.2,deletion
AC004706.3,deletion
AC004707.1,deletion
AC004754.1,deletion
AC004771.1,deletion
AC004771.2,deletion
AC004771.3,deletion
AC004771.4,deletion
AC004771.5,deletion
AC004775.1,deletion
AC004777.1,deletion
AC004784.1,deletion
AC004790.1,deletion
AC004790.2,deletion
AC004792.1,deletion
AC004797.1,deletion
AC004801.1,deletion
AC004801.2,deletion
AC004801.3,deletion
AC004801.4,deletion
AC004801.5,deletion
AC004801.6,deletion
AC004801.7,deletion
AC004803.1,deletion
AC004805.1,deletion
AC004805.2,deletion
AC004805.3,deletion
AC004808.1,deletion
AC004808.2,deletion
AC004812.1,deletion
AC004812.2,deletion
AC004816.1,deletion
AC004816.2,deletion
AC004817.1,deletion
AC004817.2,deletion
AC004817.3,deletion
AC004817.4,deletion
AC004824.1,deletion
AC004825.1,deletion
AC004825.2,deletion
AC004828.1,deletion
AC004830.1,deletion
AC004832.1,deletion
AC004832.2,deletion
AC004832.3,deletion
AC004832.4,deletion
AC004832.5,deletion
AC004832.6,deletion
AC004834.1,deletion
AC004835.1,deletion
AC004835.2,deletion
AC004836.1,deletion
AC004837.1,deletion
AC004837.2,deletion
AC004837.3,deletion
AC004839.1,deletion
AC004840.1,deletion
AC004840.2,deletion
AC004846.1,deletion
AC004846.2,deletion
AC004847.1,deletion
AC004852.1,deletion
AC004852.2,deletion
AC004852.3,deletion
AC004853.1,deletion
AC004854.1,deletion
AC004854.2,deletion
AC004858.1,deletion
AC004862.1,deletion
AC004865.1,deletion
AC004865.2,deletion
AC004866.1,deletion
AC004866.2,deletion
AC004869.1,deletion
AC004869.2,deletion
AC004870.1,deletion
AC004870.2,deletion
AC004870.3,deletion
AC004870.4,deletion
AC004872.1,deletion
AC004875.1,deletion
AC004877.1,deletion
AC004877.2,deletion
AC004882.1,deletion
AC004882.2,deletion
AC004884.1,deletion
AC004884.2,deletion
AC004888.1,deletion
AC004889.1,deletion
AC004890.1,deletion
AC004890.2,deletion
AC004890.3,deletion
AC004893.1,deletion
AC004893.2,deletion
AC004895.1,deletion
AC004898.1,deletion
AC004899.1,deletion
AC004899.2,deletion
AC004906.1,deletion
AC004908.1,deletion
AC004908.2,deletion
AC004908.3,deletion
AC004910.1,deletion
AC004911.1,deletion
AC004917.1,deletion
AC004918.1,deletion
AC004918.3,deletion
AC004920.1,deletion
AC004921.1,deletion
AC004922.1,deletion
AC004923.1,deletion
AC004923.2,deletion
AC004923.3,deletion
AC004923.4,deletion
AC004925.1,deletion
AC004930.1,deletion
AC004936.1,deletion
AC004938.1,deletion
AC004941.1,deletion
AC004941.2,deletion
AC004943.1,deletion
AC004943.2,deletion
AC004943.3,deletion
AC004944.1,deletion
AC004945.1,deletion
AC004946.1,deletion
AC004947.1,deletion
AC004947.2,deletion
AC004948.1,deletion
AC004949.1,deletion
AC004951.1,deletion
AC004951.2,deletion
AC004951.3,deletion
AC004951.4,deletion
AC004965.1,deletion
AC004967.1,deletion
AC004969.1,deletion
AC004972.1,deletion
AC004973.1,deletion
AC004975.1,deletion
AC004975.2,deletion
AC004980.1,deletion
AC004980.2,deletion
AC004980.3,deletion
AC004980.4,deletion
AC004982.1,deletion
AC004982.2,deletion
AC004986.1,deletion
AC004987.1,deletion
AC004987.2,deletion
AC004987.3,deletion
AC004987.4,deletion
AC004988.1,deletion
AC004990.1,deletion
AC004994.1,deletion
AC004997.1,deletion
AC005000.1,deletion
AC005000.2,deletion
AC005002.1,deletion
AC005002.2,deletion
AC005005.1,deletion
AC005005.2,deletion
AC005005.3,deletion
AC005005.4,deletion
AC005006.1,deletion
AC005008.1,deletion
AC005008.2,deletion
AC005009.1,deletion
AC005009.2,deletion
AC005011.1,deletion
AC005013.1,deletion
AC005014.1,deletion
AC005014.2,deletion
AC005014.3,deletion
AC005019.1,deletion
AC005019.2,deletion
AC005020.1,deletion
AC005020.2,deletion
AC005021.1,deletion
AC005033.1,deletion
AC005034.1,deletion
AC005034.2,deletion
AC005034.3,deletion
AC005034.4,deletion
AC005034.5,deletion
AC005037.1,deletion
AC005040.1,deletion
AC005041.1,deletion
AC005041.2,deletion
AC005041.3,deletion
AC005042.1,deletion
AC005042.2,deletion
AC005042.3,deletion
AC005046.1,deletion
AC005050.1,deletion
AC005052.1,deletion
AC005062.1,deletion
AC005064.1,deletion
AC005066.1,deletion
AC005070.1,deletion
AC005070.2,deletion
AC005070.3,deletion
AC005072.1,deletion
AC005076.1,deletion
AC005077.1,deletion
AC005077.2,deletion
AC005077.3,deletion
AC005077.4,deletion
AC005082.1,deletion
AC005083.1,deletion
AC005084.1,deletion
AC005086.1,deletion
AC005086.2,deletion
AC005086.3,deletion
AC005086.4,deletion
AC005088.1,deletion
AC005089.1,deletion
AC005090.1,deletion
AC005091.1,deletion
AC005094.1,deletion
AC005096.1,deletion
AC005099.1,deletion
AC005102.1,deletion
AC005104.1,deletion
AC005104.2,deletion
AC005105.1,deletion
AC005144.1,deletion
AC005150.1,deletion
AC005154.1,deletion
AC005154.2,deletion
AC005154.3,deletion
AC005154.4,deletion
AC005154.5,deletion
AC005154.6,deletion
AC005156.1,deletion
AC005160.1,deletion
AC005162.1,deletion
AC005162.2,deletion
AC005162.3,deletion
AC005165.1,deletion
AC005165.2,deletion
AC005176.1,deletion
AC005176.2,deletion
AC005178.1,deletion
AC005180.1,deletion
AC005180.2,deletion
AC005181.1,deletion
AC005183.1,deletion
AC005185.1,deletion
AC005186.1,deletion
AC005189.1,deletion
AC005191.1,deletion
AC005197.1,deletion
AC005208.1,deletion
AC005209.1,deletion
AC005220.1,deletion
AC005224.1,deletion
AC005224.2,deletion
AC005224.3,deletion
AC005224.4,deletion
AC005225.1,deletion
AC005225.2,deletion
AC005225.3,deletion
AC005225.4,deletion
AC005229.1,deletion
AC005229.2,deletion
AC005229.3,deletion
AC005229.4,deletion
AC005230.1,deletion
AC005232.1,deletion
AC005234.1,deletion
AC005237.1,deletion
AC005237.2,deletion
AC005244.1,deletion
AC005244.2,deletion
AC005252.1,deletion
AC005252.2,deletion
AC005252.3,deletion
AC005253.1,deletion
AC005253.2,deletion
AC005255.1,deletion
AC005256.1,deletion
AC005258.1,deletion
AC005261.1,deletion
AC005261.2,deletion
AC005261.3,deletion
AC005261.4,deletion
AC005261.5,deletion
AC005262.1,deletion
AC005262.2,deletion
AC005264.1,deletion
AC005274.1,deletion
AC005277.1,deletion
AC005277.2,deletion
AC005280.1,deletion
AC005280.2,deletion
AC005280.3,deletion
